type,Pole
Q,0,0,0,0
R,0
Eigenvalue,0.994587+0j,0.916229+0j,0.945962+0.00594968j,0.945962+-0.00594968j
Gain,30.9996,4.90698,0.0930444,0.371156
time,elapsed_time,theta_p,theta_p_dot,theta_w,theta_w_dot,theta_p_kf,theta_p_dot_kf,theta_w_kf,theta_w_dot_kf,log_motor_value,log_motor_direction,log_pwm_duty
1740906946.178,1.82347,-0.05541,0.36274,2.51200,-4.71001,-0.05302,0.49166,2.33228,-8.21522,-2.23302,2,44.00000
1740906946.189,1.83500,-0.05312,0.30461,2.46490,-4.71001,-0.05145,0.48065,2.28186,-8.27296,-2.26451,2,45.00000
1740906946.199,1.84495,-0.05095,0.17271,2.43350,-3.14000,-0.05205,0.45222,2.23425,-8.28087,-2.43005,2,48.00000
1740906946.209,1.85523,-0.05074,0.20961,2.38640,-4.70998,-0.05180,0.43324,2.18631,-8.30808,-2.52989,2,50.00000
1740906946.221,1.86646,-0.05062,0.29353,2.35500,-3.14000,-0.05001,0.43239,2.14046,-8.37533,-2.50811,2,50.00000
1740906946.230,1.87606,-0.04963,0.27574,2.32360,-3.14002,-0.04859,0.43333,2.09612,-8.45538,-2.49315,2,49.00000
1740906946.241,1.88660,-0.04830,0.17982,2.26080,-6.27999,-0.04886,0.42424,2.04812,-8.54815,-2.58503,2,51.00000
1740906946.252,1.89821,-0.04771,0.19963,2.22940,-3.14002,-0.04866,0.41449,2.00224,-8.60024,-2.65034,2,53.00000
1740906946.262,1.90764,-0.04703,0.18430,2.19800,-3.14000,-0.04869,0.40707,1.95800,-8.66375,-2.71520,2,54.00000
1740906946.272,1.91793,-0.04689,0.32026,2.15090,-4.70998,-0.04631,0.41990,1.91232,-8.76445,-2.62023,2,52.00000
1740906946.284,1.92945,-0.04781,0.22683,2.11950,-3.14000,-0.04572,0.42159,1.86822,-8.85233,-2.63020,2,52.00000
1740906946.293,1.93929,-0.04539,0.30500,2.10380,-1.57001,-0.04363,0.42436,1.82793,-8.86399,-2.55998,2,51.00000
1740906946.304,1.95016,-0.04288,0.25430,2.05670,-4.70998,-0.04247,0.42372,1.78618,-8.89339,-2.54201,2,50.00000
